Complexity,Loss,Equation
1,54.687786,"8.804463"
3,5.362649e-13,"x0 * x0"
5,5.0619757e-13,"(x0 * x0) * 1.0"
7,4.2014292e-13,"(x0 * (x0 * 1.5919315)) * 0.62816775"
15,3.7134036e-13,"(x0 * (x0 * x0)) / ((x0 * (x0 + x0)) * (0.5 / x0))"
21,3.4382686e-13,"(x0 * x0) * (((-21.604364 * -3.1434784) * (x0 + x0)) / ((x0 * (x0 + x0)) * (67.91285 / x0)))"
25,2.6298289e-13,"(x0 * x0) * (((((-21.604364 / x0) * x0) * -3.1434784) * (x0 + x0)) / ((x0 * (x0 + x0)) * (67.91285 / x0)))"
